branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
430168261,430261649,527959341,528049898,5581022,5581022,15822718,0,219285570,64244,0,0,0,320618018,1290481,1156873536,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
448690615,448697527,548922322,548995100,6093266,6093266,16065255,0,231384164,64244,0,0,0,336380211,1375088,1223337981,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
468353499,468449818,575308894,575409329,6442477,6442477,16320173,0,240320474,64244,0,0,0,352774210,1555281,1286109813,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
489328546,489341836,597638595,597691862,6473015,6473015,16335216,0,248621159,64244,0,0,0,366092577,1693749,1320925586,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
492175806,492179955,602905740,602910593,6507686,6507686,16477153,0,257411103,64244,0,0,0,387753181,1718728,1395644783,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
494725414,494725414,606836242,606836242,6582464,6582464,16508662,0,266126425,64244,0,0,0,390881578,1848001,1405532542,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
498334586,498337225,612266795,612306395,6610673,6610673,16522266,0,273515799,64244,0,0,0,391453593,1927413,1413201213,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
500571400,500584560,615868742,615887560,6625651,6625651,16529165,0,282452298,64244,0,0,0,408420437,2041059,1458763162,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
516034054,516037755,637259959,637267824,6630666,6632087,16532035,0,291200464,64244,0,0,0,420082778,2048727,1544920656,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
535733111,535733111,659916019,659929028,6654568,6654568,16543582,0,299433824,64244,0,0,0,429593677,2113866,1566059018,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
551295651,551328589,677969116,678039519,6654568,6654568,16543582,0,304391950,64244,0,0,0,429957474,2297578,1573610118,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
556357086,556357086,687406063,687406063,6664710,6664710,16548703,0,315238212,64244,0,0,0,431863456,2520397,1596339173,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
576258918,576379133,713279307,713405738,6664710,6664710,16548703,0,323595940,64244,0,0,0,447350205,2655929,1659631832,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
602055396,602133485,742888415,742976629,6664710,6664710,16548703,0,332833566,64244,0,0,0,468122292,2659987,1721362481,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
617890473,617988302,760639906,760741779,6664710,6664710,16548703,0,338585539,64244,0,0,0,469529716,2807283,1724913711,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
636239524,636349035,780262501,780374278,6664710,6664710,16548703,0,342863397,64244,0,0,0,471571593,2949560,1731837373,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
647317364,647352097,822780715,823024884,6664710,6664710,16548703,0,349271533,64244,0,0,0,477364945,3124764,1758695059,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
654557043,654590758,855553412,855681921,6664710,6664710,16548703,0,360006899,64244,0,0,0,495664252,3168162,1825498059,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
660795593,660858137,883022360,883291914,6664710,6664710,16548703,0,370283741,64244,0,0,0,507830921,3179280,1892398822,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
672009870,672041981,923311543,923568818,6664710,6664710,16548703,0,382252937,64244,0,0,0,508675041,3260067,1895087812,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
683069975,683083272,956979781,957148314,6664710,6664710,16548703,0,397104553,64244,0,0,0,510633224,3269177,1901162969,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
688479475,688584159,981110055,981128452,6664710,6664710,16548703,0,411453521,64244,0,0,0,526966282,3384797,1955710667,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
693167888,693185742,1008907149,1009051402,6664710,6664710,16548703,0,426082215,64244,0,0,0,547384945,3398527,2037231997,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
698564461,698570243,1035181511,1035201339,6664710,6664710,16548703,0,444160483,64244,0,0,0,548527607,3487856,2049338201,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
703771139,703782981,1065498068,1065653124,6664710,6664710,16548703,0,453735017,64244,0,0,0,549256340,3487856,2049338201,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
710844737,710874976,1108987282,1109225262,6664710,6664710,16548703,0,456908181,64244,0,0,0,561278324,3607552,2090761796,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
717691321,717702443,1152311453,1152394536,6664710,6664710,16548703,0,465814680,64244,0,0,0,579627907,3615535,2151240720,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
721583699,721583699,1168014389,1168014389,6664710,6664710,16548703,0,479305012,64244,0,0,0,588818572,3623774,2188308982,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
724544871,724544871,1173682286,1173682286,7073757,7078616,16799631,0,480789725,64244,0,0,0,590945039,3860030,2198858201,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
727784655,727784655,1177250908,1177250908,7514629,7514629,17158671,0,482202931,64244,0,0,0,596203079,4081692,2241896351,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
729878343,729878343,1178415516,1178415516,8143229,8144588,17591376,0,483997180,64244,0,0,0,616276354,4093110,2314075059,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
737933517,738017274,1188161607,1188251892,8717155,8719517,18124384,0,491611428,108265,0,0,0,631983617,4185561,2357986999,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
758685327,758685327,1213824973,1213824973,9447744,9449427,18426711,0,510387779,108265,0,0,0,641464416,4247597,2373676212,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
783368228,783368228,1240104765,1240104765,10332989,10340259,19130170,0,541215933,108265,0,0,0,660810463,4392403,2439446321,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
802000352,802102148,1263963408,1264068132,10807300,10811275,19428264,0,565800507,108265,0,0,0,678802154,4593691,2500068612,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
822070242,822129746,1288030120,1288030495,11312872,11314105,19654712,0,582301606,182183,0,0,0,695236827,4960230,2562500316,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
847064116,847171467,1315608552,1315720512,11659421,11660283,19841777,0,609384143,193009,0,0,0,709132170,5047749,2611377931,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
870644072,870726300,1344221299,1344330233,12139508,12140487,20068367,0,652528545,193009,0,0,0,713155205,5161071,2622376590,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
897330626,897373176,1375275428,1375396164,12541278,12541278,20266221,0,693022376,193009,0,0,0,714801062,5302277,2626430468,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
922956848,923062094,1403495272,1403607306,12673254,12673254,20521834,0,737672260,193009,0,0,0,721248649,5317060,2644645494,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
948593210,948698496,1434273314,1434385517,12917307,12917307,20875043,0,784345695,193009,0,0,0,740264242,5324607,2728218272,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
973553146,973553146,1463312511,1463312511,13070851,13070851,20966404,0,829266177,193009,0,0,0,749351861,5369185,2772202976,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
998151425,998151425,1490251117,1490251117,13070851,13070851,20966404,0,863147691,194565,0,0,0,752957195,5586561,2784553519,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1018122753,1018122753,1514999597,1514999597,13070851,13070851,20966731,0,867461524,194565,0,0,0,756703970,5775699,2799680249,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1043288077,1043313296,1542056855,1542070287,13161011,13161011,21184743,0,871984966,194565,0,0,0,773555250,5893474,2863641585,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1063196850,1063295951,1566920218,1567025118,13208214,13208214,21208916,0,875844489,194565,0,0,0,790655803,5928709,2917515570,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1086222925,1086222925,1594333466,1594333466,13398086,13400054,21577677,0,877983453,194565,0,0,0,791840588,6033944,2925141521,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1111246450,1111246450,1621247164,1621312679,13634013,13634830,21732526,0,883404991,194565,0,0,0,793546413,6209831,2931519093,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1130343040,1130435580,1645308065,1645407115,13664805,13664805,21874189,0,897364682,194565,0,0,0,802109659,6459626,2981977057,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1153933867,1153936841,1671503436,1671503436,13776514,13778041,22100678,0,907633148,194565,0,0,0,822249185,6552596,3030295420,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1176261828,1176263870,1697681956,1697681956,13918587,13918587,22299795,0,921682155,194565,0,0,0,840892103,6753271,3075244377,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1200124840,1200124840,1726294723,1726294723,14021660,14021660,22363105,0,933382624,194565,0,0,0,841195659,6893562,3086694247,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1226262886,1226262886,1754174453,1754174453,14119049,14121374,22424623,0,947152578,194565,0,0,0,841420249,6914423,3093236021,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1248617984,1248617984,1781658413,1781658413,14222025,14222427,22682606,0,961002635,194565,0,0,0,853212491,7029733,3131400395,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1272394354,1272398606,1810285963,1810285963,14318263,14318263,23622845,0,967285107,194565,0,0,0,876202465,7038201,3208502339,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1289571043,1289616592,1828914037,1828996224,14406865,14407497,24778832,0,971289804,194565,0,0,0,881363257,7104782,3235236063,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1309331587,1309331587,1853271300,1853271300,14498328,14498328,25926372,0,990526464,199218,0,0,0,882943360,7231518,3239975749,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1334768521,1334768521,1880358803,1880450124,14569671,14571044,26885953,0,1047820688,204119,0,0,0,889657521,7350336,3266765713,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1356271377,1356271377,1906931509,1906931509,14654287,14654579,27739338,0,1075242895,204119,0,0,0,902150435,7364255,3305287398,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1376348992,1376348992,1931485650,1931485650,14728729,14729015,28575844,0,1105365882,204119,0,0,0,919378177,7411643,3359617815,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1403375569,1403375569,1960533250,1960533250,14809087,14812372,29419005,0,1138568463,204119,0,0,0,925738183,7576005,3395679263,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1427358193,1427358193,1989615748,1989615748,14878261,14882909,30184461,0,1185590541,204119,0,0,0,939631001,7653753,3452226398,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1452373632,1452373632,2019644322,2019644322,14955214,14955214,30959561,0,1220838434,204119,0,0,0,954708946,7657321,3528199050,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1479048148,1479086636,2048549708,2048610031,15025251,15025251,31610347,0,1268518042,216218,0,0,0,956287073,7662212,3540692815,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1504882156,1504882156,2079247671,2079269612,15089033,15090069,32148238,0,1282431198,221081,0,0,0,957196441,7726344,3541091660,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1523068352,1523068352,2101981699,2101981699,15175647,15175647,32693620,0,1289865073,221081,0,0,0,966227879,7846377,3570660651,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1542355286,1542355286,2122680749,2122680749,15259076,15259076,33377623,0,1302035127,221081,0,0,0,988091512,7859289,3636000560,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1563824576,1563824576,2148987876,2148987876,15363777,15363920,34214439,0,1314102016,221081,0,0,0,994855991,7876139,3679728568,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1587874380,1587874380,2177248708,2177248708,15454011,15454011,34865762,0,1326936535,221081,0,0,0,996627182,8016812,3679840114,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1607129808,1607275760,2199019651,2199146469,15542060,15542060,35530823,0,1340715111,221081,0,0,0,1000516388,8208931,3713822103,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1624203330,1624258423,2219864643,2219936136,15625540,15625540,36200420,0,1349360102,221081,0,0,0,1013335787,8407922,3771445582,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1644362577,1644492027,2242304683,2242432370,15698171,15698459,36656008,0,1361857646,221081,0,0,0,1034732897,8441833,3820249174,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1663809332,1663809332,2265937488,2265937488,15771755,15771755,37173172,0,1369626918,221081,0,0,0,1041856485,8514692,3829520770,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
1686171438,1686171438,2290050530,2290050530,15854938,15855387,37952706,0,1383173093,222813,0,0,0,1043983076,8860855,3841890320,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
2543,16881508,14574171,14651039,15953850,15954289,38745544,0,7974699,2960,0,0,0,1048229986,8956239,3865091388,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
2543,32121384,29099271,26705564,124337,122897,1695,0,15903200,2960,0,0,0,15109307,4330,34895515,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
2543,45198138,41768730,39783407,224712,225053,2258,0,22768097,2960,0,0,0,32150225,7023,73709995,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
5682,59718383,57662848,55552286,317401,315540,2258,0,32309860,2960,0,0,0,42097258,10506,114355636,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
17336,71269924,68510597,67420349,395471,395819,2258,0,37328553,2960,0,0,0,60680492,16661,157735263,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
741121,74090887,72866233,71773601,508907,508026,2258,0,45353117,2960,0,0,0,75064164,56086,203940775,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
748280,78066783,79314202,78230274,633796,631935,2258,0,49480315,2960,0,0,0,95143503,60883,263482404,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,79587886,82603836,81511204,758005,756596,2258,0,57931917,2960,0,0,0,109517958,84351,305231656,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,79589131,82607243,81514611,867545,865684,2258,0,65282117,2960,0,0,0,128004896,87125,361876921,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,90031608,100033004,99031715,978389,976969,2258,0,71177233,2960,0,0,0,151791069,95932,414502100,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,111169048,123321478,122228846,1056386,1054525,2258,0,81879988,2960,0,0,0,162348907,109433,457695364,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,126365554,142169645,141077013,1186585,1181598,2258,0,85518578,2960,0,0,0,164151468,197842,459150252,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,127895616,144656315,143563683,1229045,1224058,2258,0,93772565,2960,0,0,0,169525531,398479,474614424,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,128798600,145806099,144713467,1424831,1419844,2258,0,99842646,2960,0,0,0,188859667,549677,543455643,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,130145221,148256101,147163469,1811360,1808410,2258,0,107290969,2960,0,0,0,205520774,582228,579486911,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,134631771,154880760,153788128,2150215,2145690,2258,0,109834338,2960,0,0,0,206145380,626891,585498636,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,152537803,178845805,177817275,2430933,2429988,2258,0,112562703,2960,0,0,0,207204353,628080,586178083,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,175703023,203566764,202576374,2876914,2873543,2258,0,113839026,2960,0,0,0,217565442,740283,620641094,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,178650664,209582004,208509350,3264528,3264424,2258,0,115040799,2960,0,0,0,240853623,747327,670193190,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
