branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
64696396,64704517,150553622,150569822,8044666,8046673,6439309,0,18816908,631776,0,0,0,60115480,10909716,467453915,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
67260603,67270561,157312454,157338814,8151557,8151557,6611916,0,28606789,1263419,0,0,0,62789299,11150024,487723096,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
69538792,69551872,163001162,163037158,8159544,8159544,6615389,0,41015220,1849552,0,0,0,66836043,11429190,511072505,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
72505929,72511023,170425078,170425451,8174444,8174444,6623055,0,46927492,2211379,0,0,0,69279990,11753261,533635866,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
79090957,79101682,185095562,185126823,8174444,8174444,6623055,0,56840243,2685717,0,0,0,71148755,11996687,550805593,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
84801657,84816274,198370812,198399683,8174444,8174444,6623055,0,61594693,2881262,0,0,0,72986939,12230671,567928465,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
90856839,90869070,212817502,212867252,8174444,8174444,6623055,0,67478858,3112873,0,0,0,74892426,12471208,584064543,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
96508377,96508377,224600930,224600930,8194527,8194527,6633364,0,76525164,3638805,0,0,0,78745284,12723994,607237361,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
99643525,99643525,231264801,231264801,8200953,8200953,6636430,0,88430171,4398620,0,0,0,82315651,13071247,633087332,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
102470000,102470000,238487801,238487801,8200953,8200953,6636430,0,101577757,5280744,0,0,0,85620739,13350240,655100125,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
104076087,104079517,240890389,240919472,8395372,8398365,6781394,0,115808771,5995354,0,0,0,86887776,13520318,665854233,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
109509141,109509141,253384948,253410335,9234496,9237850,7291890,0,123164819,6292313,0,0,0,88845488,13809409,684014294,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
114339440,114359580,265697731,265731836,9999622,10000911,7721649,0,128499942,6599832,0,0,0,89879656,13938231,692949534,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
119882466,119894896,279847147,279877083,10416205,10420012,7937280,0,135949026,7022043,0,0,0,92537222,14280202,717614625,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
124634853,124634853,290626804,290626804,11071053,11075108,8390577,0,142341018,7267563,0,0,0,94631848,14588787,736918601,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
129872265,129872265,304189813,304189813,12026027,12026027,8914415,0,144327995,7352482,0,0,0,96123907,14679878,746121864,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
135870024,135870024,319484488,319484488,12744167,12746376,9240837,0,148934461,7506165,0,0,0,96527438,14721871,749515883,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
140823945,140823945,330876678,330899619,13194723,13195160,9389881,0,152763545,7741430,0,0,0,97018360,14809156,753890514,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
143194723,143194723,335385621,335385621,13511432,13512240,9571635,0,159129919,8038482,0,0,0,98800607,15048850,769874145,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
144984648,144984648,339854782,339854782,13704840,13704840,9696363,0,168437880,8433844,0,0,0,99909862,15171567,779386940,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
146999930,146999930,344368403,344368403,14289639,14289639,10069264,0,173951723,8662221,0,0,0,103135400,15594703,809813299,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
152316176,152316176,360105616,360128706,14619235,14622802,10297842,0,175012884,8717625,0,0,0,105295015,15888907,828188037,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
155502914,155503932,368582964,368604193,15221500,15221500,10659342,0,177603969,8804238,0,0,0,108579342,16129011,849306702,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
158076554,158089052,375025628,375036305,15881170,15881170,11023558,0,179610899,8859042,0,0,0,110685439,16444904,867544720,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
162541091,162541091,385042134,385042134,16479247,16479247,11238406,0,179632242,8861599,0,0,0,112658370,16843887,885436522,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
165994257,166077919,390905474,390942008,16953066,16953066,11462446,0,179632242,8861599,0,0,0,115723180,17755421,910950191,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
170934765,170955416,401751403,401785092,17685584,17685584,11866281,0,179632242,8861599,0,0,0,119312564,18469075,937699585,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
176950997,176961427,417374851,417504840,18041236,18041236,12067524,0,179675606,8867419,0,0,0,122689286,19510395,966855102,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
179875637,179875637,421931921,421931921,18476147,18481169,12343470,0,179675606,8867419,0,0,0,125055557,20154123,986254233,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
179889324,179889324,421969237,421969237,19271349,19271349,12779669,0,179675606,8867419,0,0,0,128363782,21208188,1013597063,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180018176,180018176,422226957,422226957,19633642,19633642,12992345,0,179947517,8886728,0,0,0,131998394,21571549,1037462288,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180019729,180019729,422232318,422232318,20081388,20083978,13248598,0,179947517,8886728,0,0,0,132114333,21574329,1037577772,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180019729,180019729,422232318,422232318,20576579,20576579,13543712,0,179960447,8888282,0,0,0,133020382,21717938,1044890525,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180019729,180019729,422232318,422232318,20812157,20812157,13706002,0,187696487,9342885,0,0,0,134172085,21894093,1054292049,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180021767,180021767,422239638,422239638,21100769,21104015,13872960,0,196238275,9907769,0,0,0,137345146,22578410,1080713533,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180021767,180021767,422239638,422239638,21891038,21893978,14358457,0,201778152,10288509,0,0,0,141353999,23810116,1114517479,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180021767,180021767,422239638,422239638,22381553,22381553,14636301,0,209210161,10682739,0,0,0,144942323,24455291,1141666434,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180028240,180028240,422260052,422260052,22381553,22381553,14636301,0,216463978,10968317,0,0,0,147042836,24654928,1157061962,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180028240,180028240,422260052,422260052,22512269,22515073,14830180,0,218543503,11097804,0,0,0,148922991,24792013,1169318652,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180028240,180028240,422260052,422260052,22804773,22804773,15099507,0,220062647,11135356,0,0,0,150399518,25024464,1182170293,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180271121,180271121,422692790,422692790,23044724,23044724,15285945,0,221590551,11235903,0,0,0,152729141,25567025,1201226069,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180272043,180272043,422695371,422695371,23253013,23253013,15422634,0,229102182,11525002,0,0,0,156405765,26570743,1230539732,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180272043,180272043,422695371,422695371,23300699,23300699,15439923,0,239669014,12140761,0,0,0,160035216,26854694,1253726663,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180272043,180272043,422695371,422695371,23300699,23300699,15439923,0,250568979,12673348,0,0,0,161216801,26928624,1259891639,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180272043,180272043,422695371,422695371,23300699,23300699,15439923,0,252663037,12764945,0,0,0,162859436,27140960,1274343326,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180272043,180272043,422695371,422695371,23300699,23300699,15439923,0,257178410,13028780,0,0,0,164318103,27225177,1282526212,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180272043,180272043,422695371,422695371,23302750,23302750,15440594,0,263766142,13285772,0,0,0,166610481,27516599,1302671049,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
180272043,180272043,422695371,422695371,23314523,23314523,15446012,0,269136039,13469690,0,0,0,168078513,27734084,1314403764,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
182131587,182146839,426474841,426501955,23314856,23314856,15446188,0,272214994,13633684,0,0,0,168223567,27779040,1315661460,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
187140623,187152091,439198961,439228746,23314856,23314856,15446188,0,280098329,14096836,0,0,0,169457613,27922540,1326595101,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
190723898,190723898,447322247,447322247,23314856,23314856,15446188,0,291150296,14612455,0,0,0,172463408,28243549,1346469417,benign,FFE44A8695CCEB4979825C54A29B4CB9765057308A97E49F6C6C5C473DED0AB3.apk
