branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
5076,159659106,363481571,364351099,30966631,30859829,0,0,594854954,0,0,0,0,130310592,17498582,1047392517,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
5076,160619399,364769477,365653040,31060761,30954784,0,0,594887650,0,0,0,0,135176029,18020188,1087120526,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
5076,161046524,365612017,366503243,31111847,31005870,0,0,597611293,0,0,0,0,140775025,18619887,1131434696,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
5076,161574763,366849390,367740616,31187468,31081491,0,0,599761167,0,0,0,0,146725227,19259306,1177922740,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
5076,163118922,370592058,371219362,31382887,31230965,0,0,0,0,0,0,0,148491874,19367567,1192229615,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
5076,164529046,374241294,374867653,31893836,31654945,0,0,0,0,0,0,0,150955850,19519143,1211818329,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
5076,165228082,376009806,376622305,32305082,32118299,0,0,0,0,0,0,0,158855763,20484379,1274202781,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
5076,165341925,376328736,376941235,32431039,32244613,0,0,0,0,0,0,0,162120297,20643265,1299202917,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
0,357712,939898,939898,32757446,32570663,0,0,126730,0,0,0,0,165405080,20827568,1324949603,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
0,1770685,2570580,1595096,32862405,32689580,0,0,126730,0,0,0,0,171387456,21651673,1371246107,malicious,8D31C14C35BDC682BCE3D7C2D1FCC05D6FBD0E9C6C1E1AB3FCD58F1076EBA782.apk
